ID,Name,Sex,Age,Height,Weight,Team,NOC,Region,Region (ISO),Games,Year,Season,City,Host country,Host country (ISO),Sport,Event,Medal
98103,Milan Radakovi,M,23.0,187.0,131.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
98186,Kristina Radonji,F,17.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
98556,Urata Rama,F,29.0,173.0,64.0,Kosovo,KOS,Autonomous,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Shooting,"Shooting Women's Air Rifle, 10 metres",
98743,Victor Ramos,M,30.0,168.0,60.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2000 Summer,2000,Summer,Sydney,Australia,AUS,Boxing,Boxing Men's Lightweight,
101191,Senad Rizvanovi,M,24.0,180.0,57.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",
101212,Miko Rnjakovi,M,28.0,181.0,82.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Cycling,"Cycling Men's Road Race, Individual",
101212,Miko Rnjakovi,M,28.0,181.0,82.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Cycling,Cycling Men's 100 kilometres Team Time Trial,
104054,Nandor Sabo Paloc,M,32.0,172.0,68.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
106241,Tamara Savi-otra,F,21.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Fencing,"Fencing Women's Foil, Individual",
108383,Jasna ekari (Brajkovi-),F,26.0,175.0,70.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver
108383,Jasna ekari (Brajkovi-),F,26.0,175.0,70.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
108625,Marija Senica,F,21.0,,,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Synchronized Swimming,Synchronized Swimming Women's Solo,
113284,Zoran orov,M,30.0,161.0,57.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Wrestling,"Wrestling Men's Bantamweight, Freestyle",
116388,Faye Sultan Hussain,F,21.0,182.0,67.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Swimming,Swimming Women's 50 metres Freestyle,
120422,Etimoni Timuani,M,24.0,184.0,72.0,Tuvalu,TUV,,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Athletics,Athletics Men's 100 metres,
120439,Okilani Tinilau,M,19.0,,,Tuvalu,TUV,,,2008 Summer,2008,Summer,Beijing,China,CHN,Athletics,Athletics Men's 100 metres,
121106,Dragutin Topi,M,21.0,195.0,73.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Athletics,Athletics Men's High Jump,
121630,eljko Trajkovi,M,25.0,171.0,76.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
124142,Philipine van Aanholt,F,20.0,171.0,65.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,2012 Summer,2012,Summer,London,United Kingdom,GBR,Sailing,Sailing Women's One Person Dinghy,
125698,arko Veki,M,25.0,176.0,74.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",
125698,arko Veki,M,25.0,176.0,74.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
134359,Rita Zeqiri,F,20.0,165.0,55.0,Kosovo,KOS,Autonomous,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Swimming,Swimming Women's 100 metres Backstroke,
134699,Lum Zhaveli,M,26.0,194.0,88.0,Kosovo,KOS,Autonomous,,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,BRA,Swimming,Swimming Men's 50 metres Freestyle,
135246,Stevan Zori,M,21.0,199.0,75.0,Individual Olympic Athletes,IOA,Individual Olympic Athletes,,1992 Summer,1992,Summer,Barcelona,Spain,ESP,Athletics,Athletics Men's High Jump,
